net-mps,sm_efficiency,dram_utilization,achieved_occupancy
FNN-25,20.47,9.35,9.59
FNN-50,38.61,16.61,5.00
FNN-75,59.43,19.89,6.48
FNN-100,71.08,22.04,5.01
MsFFN-25,21.78,11.50,9.35
MsFFN-50,41.45,16.09,10.03
MsFFN-75,59.91,18.91,6.72
MsFFN-100,39.09,20.92,2.50
STMsFFN-25,23.14,10.95,9.69
STMsFFN-50,41.68,16.13,10.00
STMsFFN-75,71.12,18.73,6.66
STMsFFN-100,83.54,21.19,9.44
ResNet-25,23.10,10.48,18.89
ResNet-50,44.85,18.40,9.64
ResNet-75,53.35,18.93,5.00
ResNet-100,78.83,22.02,9.37
CNN-25,24.63,2.43,24.73
CNN-50,48.74,5.20,24.44
CNN-75,71.22,7.69,18.13
CNN-100,94.90,8.76,17.25
