net - co_net,FNN-%25,MsFFN-%25,STMsFFN-%25,CNN-%25,ResNet-%25,FNN-%50,MsFFN-%50,STMsFFN-%50,CNN-%50,ResNet-%50,FNN-%75,MsFFN-%75,STMsFFN-%75,CNN-%75,ResNet-%75
FNN-%25,0.7%,1.4%,2.1%,1.4%,2.1%,1.4%,2.8%,2.8%,3.5%,2.1%,5.6%,2.8%,2.8%,6.3%,2.8%
MsFFN-%25,2.9%,3.3%,2.0%,2.0%,2.4%,2.9%,4.5%,4.9%,4.5%,3.7%,3.7%,4.5%,3.3%,10.6%,4.1%
STMsFFN-%25,1.3%,1.8%,1.8%,4.1%,4.4%,2.8%,3.1%,3.4%,6.7%,5.7%,3.4%,4.1%,4.7%,12.7%,5.4%
CNN-%25,0.4%,0.8%,0.6%,0.6%,0.9%,0.6%,0.8%,1.0%,1.3%,1.2%,1.4%,1.2%,1.0%,8.5%,4.1%
ResNet-%25,2.2%,3.5%,2.6%,3.9%,4.8%,3.5%,4.4%,4.4%,7.5%,6.6%,3.5%,6.6%,7.5%,16.7%,7.0%
FNN-%50,0.0%,1.2%,0.0%,3.6%,4.8%,2.4%,3.6%,2.4%,7.1%,4.8%,,,,,
MsFFN-%50,9.0%,3.4%,2.3%,4.5%,6.8%,4.0%,4.0%,3.4%,7.9%,7.3%,,,,,
STMsFFN-%50,10.6%,2.7%,2.0%,4.3%,7.5%,2.7%,2.7%,3.1%,7.5%,7.5%,,,,,
CNN-%50,0.4%,0.3%,0.0%,0.3%,0.6%,0.3%,0.7%,0.8%,6.8%,3.0%,,,,,
ResNet-%50,2.1%,4.3%,3.6%,5.0%,7.1%,7.1%,6.4%,7.1%,10.0%,8.6%,,,,,
FNN-%75,1.5%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,
MsFFN-%75,6.8%,4.7%,2.7%,6.1%,8.8%,,,,,,,,,,
STMsFFN-%75,4.9%,4.4%,4.4%,7.5%,12.8%,,,,,,,,,,
CNN-%75,2.0%,1.8%,1.0%,2.4%,3.1%,,,,,,,,,,
ResNet-%75,3.8%,5.3%,4.6%,4.6%,7.6%,,,,,,,,,,
